reqalts , what about spanish food
inform , im looking for a moderately priced
inform , doesnt matter
confirm , does it serve kitalian food
request , and the postal code
reqalts , is there anything else
request , what type of food
inform , im looking for a expensive restaurant and it should serve french food
inform , thai food
thankyou , thank you good bye
thankyou , thank you good bye
reqalts , what about international
reqalts , how about spanish food
thankyou , thank you good bye
inform , asian oriental
inform , cheap restaurant
inform , it doesnt matter
bye , good bye
thankyou , thank you good bye
confirm , does it serve fusion food
request , whats the post code
reqalts , anything else
inform , were else food
request , address
request , price range
request , um can i get the address and phone number
confirm , does it serve canapes food
inform , lebanese
inform , i need a restaurant in the west part of town that serves european food
bye , good bye
repeat , go back
thankyou , thank you good bye
request , phone number
request , what is the address
inform , im looking for uh restaurant serving caribbean food
request , type of food do they serve
